publication,label
"Giro en la hipótesis sobre la muerte de José Miguel Castro, por   La muerte de José Miguel Castro, exgerente de Susana Villarán, presenta fuertes indicios de homicidio según peritos, contradiciendo la versión inicial de suicidio",4
"| Un fuerte contingente policial rodea a un joven manifestante. Los efectivos tratan de aislarlo de los demás y evitan que la intervención sea filmada.  ¡Policía criminal, vergüenza nacional!",4
"| Un cerco policial obliga a empujones a los manifestantes a replegarse a la plaza San Martín, atentando así contra el derecho constitucional a la protesta.  ¡Policía criminal, vergüenza nacional!",4
"| La Policía intenta cercar la plaza San Martín y restringir todas las vías de acceso, en clara restricción del derecho constitucional a la protesta.  ¡Policía criminal, vergüenza nacional!",4
"| Buses de la PNP se ubican frente a la plaza San Martín, punto de encuentro de diversos colectivos para la movilización.   ¿Qué está tramando la Policía servil al pacto mafioso? Estaremos atentos.",4
"| A esta hora, la plaza San Martín luce cercada y abarrotada de policías. ¿Por qué tantas efectivos para una movilización pacífica?  Estaremos atentos.",4
"El FESM convoca a los egresados y egresadas de San Marcos a sumarse a la Marcha Nacional en rechazo a la Ley 32123, un nuevo golpe al pueblo por parte del pacto mafioso coludido con los grandes capitales.  20 y 21 de septiembre Plaza San Martín",4
| Apoyemos a nuestros compañeros y compañeras que sostienen la justa medida de lucha contra las medidas privatizadoras y arbitrarias de la rectora Jerí Ramón.  ¡Ni un paso atrás en la defensa de la universidad pública y gratuita!,4
"| Seguridad de la   -matones, en realidad- lanzan objetos contundentes a estudiantes que estaban en las puertas del campus. En el video se les ve acompañados de efectivos policiales.  La rectora tiene TODA la responsabilidad d lo q sucede",4
San Marcos se moviliza en rechazo al Reglamento de Admisión 2026-I que atenta contra la gratuidad de la universidad pública.  Hacemos un llamado a la comunidad sanmarquina y al pueblo en general a no retrocer contra esta nueva medida privatizadora,4
| Junto a la Coord. de Postulantes y la FUSM convocamos a la movilización interna en contra de la privatización de San Marcos ⏰Miércoles 10 | 2pm.   Concentración: Comedor UNMSM,4
Seguimos en pie de lucha contra el Reglamento de Admisión discriminatorio y privatizador de la universidad pública. Convocamos a sumarse a las próximas acciones. ¡Abajo la privatización de San Marcos! ¡Abajo la discriminación de postulantes!,4
"¡Por JUSTICIA! ¡Por memoria! ¡Por dignidad!  Palacio de Justicia | 5pm.  Convocan familiares de víctimas de crímenes de Estado ocurridos entre 1980 y 2000, así como de los regímenes de Merino y Boluarte.",4
MAÑANA | Plantón en rectorado - 2pm. Exigimos mesa de diálogo para el cumplimiento de nuestro pliego unificado. ¡Abajo la privatización de San Marcos! ¡Abajo la discriminación y restricción a los postulantes!,4
Compartimos la convocatoria de la FUSM a los plantones que se realizarán frente a las modificaciones al reglamento de ingreso y matrícula y la progresiva privatización neoliberal de nuestra alma mater.,4
"Ante la imposición del Reglamento de Admisión 2026-I de la  q restringe el acceso a la univ., compartimos la encuesta de la FUSM para determinar cuántos estudiantes serán afectados x estas disposiciones",4
"Saludamos el pronunciamiento de los docentes de SM contra la Ley de Amnistía, una nueva vergüenza para la historia democrática del país.  Una lástima q no sea la posición institucional d SM, q está encabezado por Jerí Ramón, cómplice del pacto mafioso.",4
El FESM se pronuncia ante la farsa montada por personal de Seguridad de San Marcos para desacreditar la lucha contra el Reglamento de Admisión 2026-I.,4
"Convocamos a egresados y egresadas a sumarse a la jornada de prensa que se realizará este domingo, contra el Reglamento de Admisión 2026-I.  ¡Abajo la privatización de San Marcos!",4
"Convocamos a egresados, estudiantes, postulantes y comunidad en general al plantón de hoy en el campus.  !No a las restricciones a la postulación ni al pago de mensualidades en SM!",4
DENUNCIA | Seguridad de la  está agrediendo a postulantes que convocaron a un plantón en rechazo al Reglamento de Admisión. Algunos serían menores de edad.,4
 IPYS rechaza declaraciones del Fiscal de la Nación interino acerca de imputaciones penales a periodista Gustavo Gorri…,4
Cerca de 300 periodistas de 25 países, entre ellos Cristina Zahar, coordinadora del programa para América Latina del…",4
IPYS Venezuela rechaza enérgicamente las amenazas contra el periodista Gustavo Gorriti y recuerda que la libertad de pre…,4
"Editorial de Gustavo Gorriti en respuesta a la amenaza de muerte de Rafael López Aliaga, alcalde de Lima y candidato presidencial.",4
Gorriti EN VIVO| Dina y Santiváñez CONTRA la CIDH |Congreso vuelve a blindar a Dina,4
"”Ahora viene un congresista y te tira un pollo en la cara”.  critica al parlamentario Héctor Valer Pinto por escupir a un periodista en Puno, luego de ser increpado por llamar “terroristas” a los manifestantes.  Mira el programa completo de , aquí ↓",4
"”Que respondan todos estos mequetrefes”.  comenta sobre el respaldo del fiscal de la Nación interino, Tomás Gálvez, al pedido de congresistas para archivar denuncias constitucionales.  Mira el programa completo de , aquí ↓",4
Óscar Arriola es el nuevo comandante de la PNP: ¿quién es el reemplazo del suspendido Víctor Zanabría?  Arriola fue cu…,4
Vladimiro Montesinos será trasladado al penal de Ancón II tras cierre de convenio con la Marina de Guerra  E…,4
Rosa María sobre los 40 heridos en marcha de Generación Z: Revela que la PNP tiene una estrategia bastante violenta…,4
Las mujeres de mar de Perú y Chile que desafían el machismo: “Nos mandaban a la casa a cuidar a los esposos”  Represen…,4
José Domingo Pérez solicitará que Rafael López Aliaga declare como testigo en juicio contra Susana Villarán  El fiscal…,4
"⚠️ 'Chino Verde', miembro activo de Los Pulpos, y dos policías son detenidos por integrar banda extorsiva en Trujillo",4
Perú disfrutará de este feriado en octubre de 2025: trabajadores podrán descansar a nivel nacional debido a importante fecha histórica,4
"Por primera vez, el Corredor Rojo llegará hasta Manchay desde el Callao: amplían ruta 204 a partir del 1 de octubre",4
🤔 ¿Hay clases en colegios este jueves 2 de octubre por paro de transportistas en Lima y Callao? Esto dice Minedu,4
"“La Policía responde a órdenes”.  cuestiona al ministro Eduardo Arana tras afirmar que desconoce las agresiones a periodistas durante las protestas.  Mira el programa completo de , aquí ↓",4
"Es una cosa impresionante.  comenta sobre el fiscal de la Nación interino, Tomás Gálvez, quien respalda a los 105 congresistas investigados.  Mira el programa completo de , aquí ↓",4
"⚠️  Tras 6 años, liberan av. Nicolás Ayllón por obras de la Línea 2 del Metro: ¿qué estación se construye en Lima Este?",4
"⚠  Más de 7800 menores fueron víctimas de violación sexual, pero Congreso plantea modificar educación sexual integral  La congresista Milagros Jáuregui busca modificar la 'Ley de Igualdad de Oportunidades'.",4
"Hoy en : El congresista Héctor Valer escupió a un periodista. Además, el Congreso aprobó el informe que recomienda acusar a Martín Vizcarra y Tomás Gálvez insiste en eliminar los equipos especiales del Ministerio Público.",4
¿Retiras tu AFP? Conoce las opciones para invertir en tu futuro financiero y trabajar esos ahorros de forma eficiente.,4
⚠️ Asesinan a taxista youtuber en Santa Anita para robarle la camioneta en la que grababa sus videos: familia exige justicia,4
"🤔  La carrera mejor pagada en Lima no es Medicina ni Ingeniería, según MTPE: sueldo supera los S/23.000 al mes",4
"La empresa de transporte San Sebastián, conocida como 'La 50', anunció esta medida mediante un comunicado por amenazas y ataques a su trabajadores.",4
Hoy en  con Rosa María Palacios []: El fiscal de la Nación interino Tomás Gálvez se pronunció a fa…,4
|  en  critica al congresista Héctor Valer por escupir a periodista en Puno.   Míralo #…,4
"El mejor amigo de La Pestilencia!  Por favor X, recordar su galería de fotos.",4
 “La Policía responde a órdenes”.  cuestiona al ministro Eduardo Arana tras afirmar que desconoce las agre…,4
"Es una cosa impresionante.  comenta sobre el fiscal de la Nación interino, Tomás Gálvez, quien respalda…",4
Nuevo revés para la MML en Estados Unidos.   Y una reinvindicación a la ex procuradora Silvana Carrión. El juez de Nueva York menciona las amenazas de López Aliaga. Qué vergüenza!  En Estados Unidos un juez tiene legitimidad y respeto. No se deja atarantar por prepotentes.  MML,4
La exprocuradora Silvana Carrión pide que a la comisión del Congreso que investiga el acuerdo con Odebrecht que su presid…,4
Hoy en  con : Tomás Gálvez a favor del archivo de denuncias constitucionales y reitera postura en contra…,4
Por supuesto. Hace meses que lo venimos advirtiendo.,4
"Este 1 de octubre, Día del Periodista, la  convoca a una jornada nacional de protesta en defensa de la…",4
Los difamadores de las redes cortaron groseramente el video. Aquí va completo:,4
️  José Domingo Pérez acusa a Tomás Gálvez: Está acosando laboralmente al fiscal Rafael Vela y a mí  El fiscal del equ…,4
"The arc of the moral universe is long, but it bends towards justice. Except it doesn’t bend on its own—it bends because we…",4
"Debilitar, luego eliminar.",4
⚠️ Policías fueron grabados en el puente Acho apuntando con armas al cuerpo de jóvenes manifestantes  Durante la cuarta…,4
"“Yo les expreso mis disculpas si hubiera un exceso a algún periodista. Yo no tengo información oficial”, sostuvo el pre…",4
🇵🇪La policía comete lesiones y abuso de autoridad por 3a semana consecutiva contra manifestantes y ajenos a la protesta. En l…,4
En la Unidad de Investigación de  detectamos que 9 de los miembros de la red de ‘El Monstruo’ están afil…,4
"Hoy a las 8:20 a.m. en  |  entrevista a José Domingo Pérez, miembro del Equipo Lava Jato y a cargo…",4
"Hoy en  con : Todo sobre la nueva jornada de protestas, las agresiones policiales y mucho más. ¿Có…",4
"|  en  habla sobre el 93% de desaprobación de Dina Boluarte, según IEP.",4
"Parece que los investigados persiguen a los investigadores.  entrevista a José Domingo Pérez, quien acus…",4
 “Le rompen la nariz a este pobre hombre”.  cuestiona la agresión de la PNP a una persona durante la march…,4
"Nada de eso funciona. Tampoco el estado de emergencia. Si así fuera, que fácil sería.  Lo único que funciona es la inteligencia policial: seguimiento, escucha, peritajes financieros, análisis de micro depositantes y ruta del dinero. Es decir, un trabajo profesional con bancos y",4
Policía arresta a menor y a cinco jóvenes en marcha de la Generación Z: tres siguen detenidos  La CNDDHH también regis…,4
El nivel de degradación de la conducta de varios congresistas es cada vez más vergonzoso. Pero este sujeto no llegó al …,4
"comenta sobre el mensaje del cardenal Castillo Mattasoglio, en el cual apoyó la Marcha de ‘Generación Z’.…",4
,4
"Te compartimos la , de Carlos Tovar, para este 29 de septiembre.",4
"Grave abuso contra un menor de edad  En la comisaría de Piedra Liza un adolescente de 14 años ha sido detenido, golpea…",4
Jorge estaba haciendo su trabajo y estaba identificado. Parece que hemos vuelto a esos tiempos en los que los periodistas…,4
"Periodista Dayana Cieza me entrevista como abogado de la familia de José Miguel Castro, le digo que se invoca seriedad y q…",4
"Ocho ataques a periodistas se registraron durante la cobertura de las protestas del sábado 27 y domingo 28, inf…",4
Hoy a las 11:00 am tendré audiencia judicial por la demanda de habeas data contra la Presidencia del Perú. C…,4
¿Lo recuerdan? Marchó junto a la  y fue agredido cobardemente por la policía con un palazo en la cara. Reci…,4
Alguien dijo purga por venganza???,4
"- cómo bien dicen, ahora tienen dos Vizcarras.    - 10%  - 7%  - 7%",4
"En las jornadas de protestas del 28 de septiembre se documentaron 14 casos de agresiones, entre ellas 6 detenciones,…",4
| Los heridos de las protestas contra el gobierno de Merino que no cuentan con abogados particulares se encue…,4
Estudio derecho? En serio?,4
