Emoji,Significado
🧡,[corazónnaranja]
🍾,[botelladescorchada]
💎,[piedrapreciosa]
👆,[dorsodemanocondedoíndicehaciaarriba]
🎮,[mandodevideoconsola]
🍃,[hojasrevoloteandoalviento]
🌼,[flor]
🌹,[rosa]
🌳,[árboldehojacaduca]
🌝,[lunallenaconcara]
🐦,[pájaro]
🇻,[V]
⬅,[flechahacialaizquierda]
🐥,[pollitodefrente]
✔,[marcadeverificaciónnegra]
⚡,[altovoltaje]
⚫,[círculonegro]
🐢,[tortuga]
🐐,[cabra]
🐉,[dragón]
😚,[carabesandoconlosojoscerrados]
😛,[carasacandolalengua]
☄,[cometa]
😟,[carapreocupada]
🦈,[tiburón]
🍺,[jarradecerveza]
🦄,[caradeunicornio]
♻,[símbolodereciclaje]
🌻,[girasol]
🌺,[flordehibisco]
🌷,[tulipán]
🤪,[caradeloco]
⚪,[círculoblanco]
🌞,[solconcara]
🥚,[huevo]
🌐,[globoterráqueoconmeridianos]
🚛,[camiónarticulado]
🚻,[señaldeaseos]
🥂,[copasbrindando]
🤝,[apretóndemanos]
🤟,[gestodetequiero]
⭐,[estrellablancamediana]
⬆,[flechahaciaarriba]
✈,[avión]
❌,[marcadecruz]
🤑,[caraconlenguadedinero]
💩,[cacaconojos]
🔞,[prohibidoparamenosde18años]
👈,[dorsodemanocondedo´´indicehacialaizquierda]
💰,[bolsadedinero]
💲,[símbolodedólar]
💳,[tarjetadecrédito]
💵,[billetededólar]
💡,[bombilla]
📐,[escuadra]
📥,[bandejadeentrada]
👽,[alienígena]
🕊,[paloma]
🗣,[cabezaparlante]
👑,[corona]
👋,[manosaludando]
👊,[puñocerrado]
⌚,[reloj]
👁,[ojo]
🐸,[caraderana]
🐽,[narizdecerdo]
🐼,[caradeosopanda]
🏫,[edificiodecolegio]
📞,[auriculardeteléfono]
📎,[clip]
❄,[copodenieve]
🐏,[carnero]
❗,[exclamaciónroja]
📖,[libroabierto]
📚,[libros]
⭕,[círculorojo]
✋,[manolevantada]
🅱,[gruposanguíneoB]
🤠,[caraconsombrerodevaquero]
🆘,[símbolodesocorro]
💋,[marcadebeso]
🇧,[B]
🇨,[C]
🇳,[N]
📈,[gráficadeevoluciónascendente]
🤯,[cabezaexplotando]
📅,[calendario]
🥴,[caradegrogui]
💣,[bomba]
🧏,[personasorda]
☢,[radiactivo]
🦌,[ciervo]
🐤,[pollito]
🦁,[caradeleón]
🐻,[caradeoso]
⚖,[balanza]
😖,[caradefrustración]
💴,[billetedeyen]
🐖,[cerdo]
💸,[billeteconalas]
🥇,[medalladeoro]
🥃,[vasodewhisky]
📄,[páginahaciaarriba]
⚽,[balóndefútbol]
🇷,[R]
👻,[fantasma]
🏅,[medalladeportiva]
🌅,[amanecer]
😶,[carasinboca]
🍓,[fresa]
🍔,[hamburguesa]
🍪,[galleta]
🍭,[piruleta]
🍴,[tenedorycuchillo]
🍸,[copadecóctel]
👄,[boca]
💥,[colisión]
🎄,[árboldeNavidad]
🎇,[bengala]
😧,[caraangustiada]
🎏,[banderíndecarpas]
😤,[cararesoplando]
🏳,[banderablanca]
🎵,[notamusical]
🏀,[balóndebaloncesto]
😷,[caraconmascarillamédica]
😹,[caradegatollorandoderisa]
🌿,[hierba]
👴,[anciano]
🛍,[bolsasdecompras]
🔊,[altavozavolumenalto]
🚫,[prohibido]
🌍,[globoterráqueomostrandoEuropayÁfrica]
👶,[bebé]
🚀,[cohete]
🐶,[caradeperro]
👣,[huellasdepies]
😾,[caradegatoenfadado]
🌲,[árboldehojaperenne]
🔻,[triángulorojohaciaabajo]
🐈,[gato]
🕯,[vela]
🕶,[gafasdesol]
👞,[zapatodehombre]
😙,[carabesandoconojossonrientes]
🐴,[caradecaballo]
